2018-01-25 08:38:12.447 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TOTAL RESULT COUNT: 1683
2018-01-25 08:38:14.039 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/saharkallel/clacs/682111697a3e3ea769db2ac694d72cfd7fcbc46b/CLACS/mirrored.gmfgraph
2018-01-25 08:38:14.040 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/mirrored.gmfgraph
2018-01-25 08:38:14.040 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (1 of 1683): saharkallel/clacs
2018-01-25 08:38:14.475 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/saharkallel/clacs/682111697a3e3ea769db2ac694d72cfd7fcbc46b/CLACS/mirrored1.gmfgraph
2018-01-25 08:38:14.476 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/mirrored1.gmfgraph
2018-01-25 08:38:14.476 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (2 of 1683): saharkallel/clacs
2018-01-25 08:38:14.906 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/saharkallel/clacs/682111697a3e3ea769db2ac694d72cfd7fcbc46b/CLACS/models/mirrored.gmfgraph
2018-01-25 08:38:14.906 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/mirrored_1.gmfgraph
2018-01-25 08:38:14.906 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (3 of 1683): saharkallel/clacs
2018-01-25 08:38:15.366 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/ctiber/clacs/2a16df200e58d42f3800e08b2d75f131b057090c/CLACS/mirrored.gmfgraph
2018-01-25 08:38:15.366 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/mirrored_2.gmfgraph
2018-01-25 08:38:15.367 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (4 of 1683): ctiber/clacs
2018-01-25 08:38:15.827 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/ctiber/clacs/2a16df200e58d42f3800e08b2d75f131b057090c/CLACS/mirrored1.gmfgraph
2018-01-25 08:38:15.827 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/mirrored1_1.gmfgraph
2018-01-25 08:38:15.827 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (5 of 1683): ctiber/clacs
2018-01-25 08:38:16.314 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/ctiber/clacs/2a16df200e58d42f3800e08b2d75f131b057090c/CLACS/models/mirrored.gmfgraph
2018-01-25 08:38:16.314 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/mirrored_3.gmfgraph
2018-01-25 08:38:16.315 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (6 of 1683): ctiber/clacs
2018-01-25 08:38:17.351 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/wso2-attic/tools/a60a1a45b65c888e0f9fcfa37d7a2c60c2b09b56/ide/eclipse/data-mapper/org.wso2.developerstudio.visualdatamapper/model/dataMapper.gmfgraph
2018-01-25 08:38:17.351 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/dataMapper.gmfgraph
2018-01-25 08:38:17.351 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (7 of 1683): wso2-attic/tools
2018-01-25 08:38:18.695 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/ivanjimenez/tsoo_mswin/c2f9f158f325d88f587115c2c5246b691a78296a/M1/UML/model/UML.gmfgraph
2018-01-25 08:38:18.695 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/UML.gmfgraph
2018-01-25 08:38:18.695 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (8 of 1683): ivanjimenez/tsoo_mswin
2018-01-25 08:38:19.202 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/elisedcvl/ProjectGMFDecourval/55f62e80c0e4e9970b6b7bd51fdf8d028f76ad81/DecourvalProjectGMF/model/FriendzGMF(WithoutLike).gmfgraph
2018-01-25 08:38:19.202 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/FriendzGMFWithoutLike.gmfgraph
2018-01-25 08:38:19.202 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (9 of 1683): elisedcvl/ProjectGMFDecourval
2018-01-25 08:38:20.128 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/elisedcvl/ProjectGMFDecourval/55f62e80c0e4e9970b6b7bd51fdf8d028f76ad81/ProjectGMFDecourval/DecourvalProjectGMF/model/FriendzGMF(WithoutLike).gmfgraph
2018-01-25 08:38:20.128 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/FriendzGMFWithoutLike_1.gmfgraph
2018-01-25 08:38:20.129 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (10 of 1683): elisedcvl/ProjectGMFDecourval
2018-01-25 08:38:20.594 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/pedrorleonardo/teseVisualino/0155b6ee7337e9d5daa895c91c93199fabada8da/eclipse%20project/workspace/figuresPlan.figures/models/mirrored.gmfgraph
2018-01-25 08:38:20.595 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/mirrored_4.gmfgraph
2018-01-25 08:38:20.595 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (11 of 1683): pedrorleonardo/teseVisualino
2018-01-25 08:38:21.069 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/ivanjimenez/tsoo_mswin/c2f9f158f325d88f587115c2c5246b691a78296a/M1_tema4/UML/model/UML.gmfgraph
2018-01-25 08:38:21.069 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/UML_1.gmfgraph
2018-01-25 08:38:21.069 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (12 of 1683): ivanjimenez/tsoo_mswin
2018-01-25 08:38:21.639 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/alxbrd/org.eclipse.epsilon/23d456d1c0efc35c0665e7218d8961e7073ee940/tests/org.eclipse.epsilon.workflow.test/resources/eugenia/flowchart/flowchart.gmfgraph
2018-01-25 08:38:21.639 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/flowchart.gmfgraph
2018-01-25 08:38:21.640 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (13 of 1683): alxbrd/org.eclipse.epsilon
2018-01-25 08:38:22.251 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/lucascraft/ubq_wip/eff577040f21be71ea2c76c187d574f1617703ce/net.sf.smbt.jazzmutant/src/model/jzmutui.gmfgraph
2018-01-25 08:38:22.251 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/jzmutui.gmfgraph
2018-01-25 08:38:22.251 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (14 of 1683): lucascraft/ubq_wip
2018-01-25 08:38:22.681 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/ivanjimenez/tssoo_win2/03b97f2b457b09eb60b14a58a24b4a0432f54fca/M1_win/UML/model/UML.gmfgraph
2018-01-25 08:38:22.682 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/UML_2.gmfgraph
2018-01-25 08:38:22.682 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (15 of 1683): ivanjimenez/tssoo_win2
2018-01-25 08:38:23.155 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/justzee/aurora-project/c7b68aea2bc7d592f8fc895a74a46180d390fac4/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:23.156 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20.gmfgraph
2018-01-25 08:38:23.156 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (16 of 1683): justzee/aurora-project
2018-01-25 08:38:23.875 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/yywill/aurora-project/5fb70fcf9d1972d4c5bf7c53cc67662530fd682d/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:23.875 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_1.gmfgraph
2018-01-25 08:38:23.875 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (17 of 1683): yywill/aurora-project
2018-01-25 08:38:24.690 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/xiaomLee/aurora-project/ca02c01b76e049b9b0c227b11b86c7279c2da245/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:24.690 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_2.gmfgraph
2018-01-25 08:38:24.690 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (18 of 1683): xiaomLee/aurora-project
2018-01-25 08:38:25.354 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/guanglizi/aurora-project/c7b68aea2bc7d592f8fc895a74a46180d390fac4/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:25.354 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_3.gmfgraph
2018-01-25 08:38:25.354 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (19 of 1683): guanglizi/aurora-project
2018-01-25 08:38:26.100 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/Chajunghun/aurora-project/d4d39861446ea941929780505987dbaf9e3b7a8d/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
